sentence_1,sentence_2,label,tense_sentence_1-tense_sentence_2,aspect_sentence_1-aspect_sentence_2
France had conquered Belgium,France will attack Belgium,0,past perfect - future simple,perfect - progressive
France had conquered Belgium,France attacks Belgium,0,past perfect - present simple,perfect - progressive
France had conquered Belgium,France attacked Belgium,1,past perfect - past simple,perfect - perfect
France will conquer Belgium,France is attacking Belgium,0,future simple - present progressive,progressive - progressive
France will conquer Belgium,France was attacking Belgium,0,future simple - past progressive,progressive - progressive
France will conquer Belgium,France has attacked Belgium,0,future simple - present perfect,progressive - perfect
France will conquer Belgium,France had attacked Belgium,0,future simple - past perfect,progressive - perfect
France will conquer Belgium,France will attack Belgium,1,future simple - future simple,progressive - progressive
France will conquer Belgium,France attacks Belgium,0,future simple - present simple,progressive - progressive
France will conquer Belgium,France attacked Belgium,0,future simple - past simple,progressive - perfect
France conquers Belgium,France is attacking Belgium,1,present simple - present progressive,progressive - progressive
France conquers Belgium,France was attacking Belgium,1,present simple - past progressive,progressive - progressive
France conquers Belgium,France has attacked Belgium,0,present simple - present perfect,progressive - perfect
France conquers Belgium,France had attacked Belgium,0,present simple - past perfect,progressive - perfect
France conquers Belgium,France will attack Belgium,0,present simple - future simple,progressive - progressive
France conquers Belgium,France attacks Belgium,1,present simple - present simple,progressive - progressive
France conquers Belgium,France attacked Belgium,1,present simple - past simple,progressive - perfect
France conquered Belgium,France is attacking Belgium,0,past simple - present progressive,perfect - progressive
France conquered Belgium,France was attacking Belgium,1,past simple - past progressive,perfect - progressive
France conquered Belgium,France has attacked Belgium,0,past simple - present perfect,perfect - perfect
France conquered Belgium,France had attacked Belgium,1,past simple - past perfect,perfect - perfect
France conquered Belgium,France will attack Belgium,0,past simple - future simple,perfect - progressive
France conquered Belgium,France attacks Belgium,0,past simple - present simple,perfect - progressive
France conquered Belgium,France attacked Belgium,1,past simple - past simple,perfect - perfect
France is attacking Belgium,France is conquering Belgium,0,present progressive - present progressive,progressive - progressive
France is attacking Belgium,France was conquering Belgium,0,present progressive - past progressive,progressive - progressive
France is attacking Belgium,France has conquered Belgium,0,present progressive - present perfect,progressive - perfect
France is attacking Belgium,France had conquered Belgium,0,present progressive - past perfect,progressive - perfect
France is attacking Belgium,France will conquer Belgium,0,present progressive - future simple,progressive - progressive
France is attacking Belgium,France conquers Belgium,0,present progressive - present simple,progressive - progressive
France is attacking Belgium,France conquered Belgium,0,present progressive - past simple,progressive - perfect
France was attacking Belgium,France is conquering Belgium,0,past progressive - present progressive,progressive - progressive
France was attacking Belgium,France was conquering Belgium,0,past progressive - past progressive,progressive - progressive
France was attacking Belgium,France has conquered Belgium,0,past progressive - present perfect,progressive - perfect
France was attacking Belgium,France had conquered Belgium,0,past progressive - past perfect,progressive - perfect
France was attacking Belgium,France will conquer Belgium,0,past progressive - future simple,progressive - progressive
France was attacking Belgium,France conquers Belgium,0,past progressive - present simple,progressive - progressive
France was attacking Belgium,France conquered Belgium,0,past progressive - past simple,progressive - perfect
France has attacked Belgium,France is conquering Belgium,0,present perfect - present progressive,perfect - progressive
France has attacked Belgium,France was conquering Belgium,0,present perfect - past progressive,perfect - progressive
France has attacked Belgium,France has conquered Belgium,0,present perfect - present perfect,perfect - perfect
France has attacked Belgium,France had conquered Belgium,0,present perfect - past perfect,perfect - perfect
France has attacked Belgium,France will conquer Belgium,0,present perfect - future simple,perfect - progressive
France has attacked Belgium,France conquers Belgium,0,present perfect - present simple,perfect - progressive
France has attacked Belgium,France conquered Belgium,0,present perfect - past simple,perfect - perfect
France had attacked Belgium,France is conquering Belgium,0,past perfect - present progressive,perfect - progressive
France had attacked Belgium,France was conquering Belgium,0,past perfect - past progressive,perfect - progressive
France had attacked Belgium,France has conquered Belgium,0,past perfect - present perfect,perfect - perfect
France had attacked Belgium,France had conquered Belgium,0,past perfect - past perfect,perfect - perfect
France had attacked Belgium,France will conquer Belgium,0,past perfect - future simple,perfect - progressive
France had attacked Belgium,France conquers Belgium,0,past perfect - present simple,perfect - progressive
France had attacked Belgium,France conquered Belgium,0,past perfect - past simple,perfect - perfect
France will attack Belgium,France is conquering Belgium,0,future simple - present progressive,progressive - progressive
France will attack Belgium,France was conquering Belgium,0,future simple - past progressive,progressive - progressive
France will attack Belgium,France has conquered Belgium,0,future simple - present perfect,progressive - perfect
France will attack Belgium,France had conquered Belgium,0,future simple - past perfect,progressive - perfect
France will attack Belgium,France will conquer Belgium,0,future simple - future simple,progressive - progressive
France will attack Belgium,France conquers Belgium,0,future simple - present simple,progressive - progressive
France will attack Belgium,France conquered Belgium,0,future simple - past simple,progressive - perfect
France attacks Belgium,France is conquering Belgium,0,present simple - present progressive,progressive - progressive
France attacks Belgium,France was conquering Belgium,0,present simple - past progressive,progressive - progressive
France attacks Belgium,France has conquered Belgium,0,present simple - present perfect,progressive - perfect
France attacks Belgium,France had conquered Belgium,0,present simple - past perfect,progressive - perfect
France attacks Belgium,France will conquer Belgium,0,present simple - future simple,progressive - progressive
France attacks Belgium,France conquers Belgium,0,present simple - present simple,progressive - progressive
France attacks Belgium,France conquered Belgium,0,present simple - past simple,progressive - perfect
France attacked Belgium,France is conquering Belgium,0,past simple - present progressive,perfect - progressive
France attacked Belgium,France was conquering Belgium,0,past simple - past progressive,perfect - progressive
France attacked Belgium,France has conquered Belgium,0,past simple - present perfect,perfect - perfect
France attacked Belgium,France had conquered Belgium,0,past simple - past perfect,perfect - perfect
France attacked Belgium,France will conquer Belgium,0,past simple - future simple,perfect - progressive
France attacked Belgium,France conquers Belgium,0,past simple - present simple,perfect - progressive
France attacked Belgium,France conquered Belgium,0,past simple - past simple,perfect - perfect
Amazon is shipping the parcel,Amazon is bundling the parcel,0,present progressive - present progressive,progressive - progressive
Amazon is shipping the parcel,Amazon was bundling the parcel,1,present progressive - past progressive,progressive - progressive
Amazon is shipping the parcel,Amazon has bundled the parcel,1,present progressive - present perfect,progressive - perfect
Amazon is shipping the parcel,Amazon had bundled the parcel,0,present progressive - past perfect,progressive - perfect
Amazon is shipping the parcel,Amazon will bundle the parcel,0,present progressive - future simple,progressive - progressive
Amazon is shipping the parcel,Amazon bundles the parcel,0,present progressive - present simple,progressive - progressive
Amazon is shipping the parcel,Amazon bundled the parcel,1,present progressive - past simple,progressive - perfect
Amazon was shipping the parcel,Amazon is bundling the parcel,0,past progressive - present progressive,progressive - progressive
Amazon was shipping the parcel,Amazon was bundling the parcel,1,past progressive - past progressive,progressive - progressive
Amazon was shipping the parcel,Amazon has bundled the parcel,0,past progressive - present perfect,progressive - perfect
Amazon was shipping the parcel,Amazon had bundled the parcel,1,past progressive - past perfect,progressive - perfect
Amazon was shipping the parcel,Amazon will bundle the parcel,0,past progressive - future simple,progressive - progressive
Amazon was shipping the parcel,Amazon bundles the parcel,0,past progressive - present simple,progressive - progressive
Amazon was shipping the parcel,Amazon bundled the parcel,1,past progressive - past simple,progressive - perfect
Amazon has shipped the parcel,Amazon is bundling the parcel,0,present perfect - present progressive,perfect - progressive
Amazon has shipped the parcel,Amazon was bundling the parcel,1,present perfect - past progressive,perfect - progressive
Amazon has shipped the parcel,Amazon has bundled the parcel,0,present perfect - present perfect,perfect - perfect
Amazon has shipped the parcel,Amazon had bundled the parcel,1,present perfect - past perfect,perfect - perfect
Amazon has shipped the parcel,Amazon will bundle the parcel,0,present perfect - future simple,perfect - progressive
Amazon has shipped the parcel,Amazon bundles the parcel,0,present perfect - present simple,perfect - progressive
Amazon has shipped the parcel,Amazon bundled the parcel,1,present perfect - past simple,perfect - perfect
Amazon had shipped the parcel,Amazon is bundling the parcel,0,past perfect - present progressive,perfect - progressive
Amazon had shipped the parcel,Amazon was bundling the parcel,1,past perfect - past progressive,perfect - progressive
Amazon had shipped the parcel,Amazon has bundled the parcel,0,past perfect - present perfect,perfect - perfect
Amazon had shipped the parcel,Amazon had bundled the parcel,1,past perfect - past perfect,perfect - perfect
Amazon had shipped the parcel,Amazon will bundle the parcel,0,past perfect - future simple,perfect - progressive
Amazon had shipped the parcel,Amazon bundles the parcel,0,past perfect - present simple,perfect - progressive
Amazon had shipped the parcel,Amazon bundled the parcel,1,past perfect - past simple,perfect - perfect
Amazon will ship the parcel,Amazon is bundling the parcel,0,future simple - present progressive,progressive - progressive
Amazon will ship the parcel,Amazon was bundling the parcel,0,future simple - past progressive,progressive - progressive
Amazon will ship the parcel,Amazon has bundled the parcel,0,future simple - present perfect,progressive - perfect
Amazon will ship the parcel,Amazon had bundled the parcel,0,future simple - past perfect,progressive - perfect
Amazon will ship the parcel,Amazon will bundle the parcel,0,future simple - future simple,progressive - progressive
Amazon will ship the parcel,Amazon bundles the parcel,0,future simple - present simple,progressive - progressive
Amazon will ship the parcel,Amazon bundled the parcel,0,future simple - past simple,progressive - perfect
Amazon ships the parcel,Amazon is bundling the parcel,0,present simple - present progressive,progressive - progressive
Amazon ships the parcel,Amazon was bundling the parcel,1,present simple - past progressive,progressive - progressive
Amazon ships the parcel,Amazon has bundled the parcel,1,present simple - present perfect,progressive - perfect
Amazon ships the parcel,Amazon had bundled the parcel,1,present simple - past perfect,progressive - perfect
Amazon ships the parcel,Amazon will bundle the parcel,0,present simple - future simple,progressive - progressive
Amazon ships the parcel,Amazon bundles the parcel,0,present simple - present simple,progressive - progressive
Amazon ships the parcel,Amazon bundled the parcel,1,present simple - past simple,progressive - perfect
Amazon shipped the parcel,Amazon is bundling the parcel,0,past simple - present progressive,perfect - progressive
Amazon shipped the parcel,Amazon was bundling the parcel,1,past simple - past progressive,perfect - progressive
Amazon shipped the parcel,Amazon has bundled the parcel,0,past simple - present perfect,perfect - perfect
Amazon shipped the parcel,Amazon had bundled the parcel,1,past simple - past perfect,perfect - perfect
Amazon shipped the parcel,Amazon will bundle the parcel,0,past simple - future simple,perfect - progressive
Amazon shipped the parcel,Amazon bundles the parcel,0,past simple - present simple,perfect - progressive
Amazon shipped the parcel,Amazon bundled the parcel,1,past simple - past simple,perfect - perfect
Amazon is bundling the parcel,Amazon is shipping the parcel,0,present progressive - present progressive,progressive - progressive
Amazon is bundling the parcel,Amazon was shipping the parcel,0,present progressive - past progressive,progressive - progressive
Amazon is bundling the parcel,Amazon has shipped the parcel,0,present progressive - present perfect,progressive - perfect
Amazon is bundling the parcel,Amazon had shipped the parcel,0,present progressive - past perfect,progressive - perfect
Amazon is bundling the parcel,Amazon will ship the parcel,0,present progressive - future simple,progressive - progressive
Amazon is bundling the parcel,Amazon ships the parcel,0,present progressive - present simple,progressive - progressive
Amazon is bundling the parcel,Amazon shipped the parcel,0,present progressive - past simple,progressive - perfect
Amazon was bundling the parcel,Amazon is shipping the parcel,0,past progressive - present progressive,progressive - progressive
Amazon was bundling the parcel,Amazon was shipping the parcel,0,past progressive - past progressive,progressive - progressive
Amazon was bundling the parcel,Amazon has shipped the parcel,0,past progressive - present perfect,progressive - perfect
Amazon was bundling the parcel,Amazon had shipped the parcel,0,past progressive - past perfect,progressive - perfect
Amazon was bundling the parcel,Amazon will ship the parcel,0,past progressive - future simple,progressive - progressive
Amazon was bundling the parcel,Amazon ships the parcel,0,past progressive - present simple,progressive - progressive
Amazon was bundling the parcel,Amazon shipped the parcel,0,past progressive - past simple,progressive - perfect
Amazon has bundled the parcel,Amazon is shipping the parcel,0,present perfect - present progressive,perfect - progressive
Amazon has bundled the parcel,Amazon was shipping the parcel,0,present perfect - past progressive,perfect - progressive
Amazon has bundled the parcel,Amazon has shipped the parcel,0,present perfect - present perfect,perfect - perfect
Amazon has bundled the parcel,Amazon had shipped the parcel,0,present perfect - past perfect,perfect - perfect
Amazon has bundled the parcel,Amazon will ship the parcel,0,present perfect - future simple,perfect - progressive
Amazon has bundled the parcel,Amazon ships the parcel,0,present perfect - present simple,perfect - progressive
Amazon has bundled the parcel,Amazon shipped the parcel,0,present perfect - past simple,perfect - perfect
Amazon had bundled the parcel,Amazon is shipping the parcel,0,past perfect - present progressive,perfect - progressive
Amazon had bundled the parcel,Amazon was shipping the parcel,0,past perfect - past progressive,perfect - progressive
Amazon had bundled the parcel,Amazon has shipped the parcel,0,past perfect - present perfect,perfect - perfect
Amazon had bundled the parcel,Amazon had shipped the parcel,0,past perfect - past perfect,perfect - perfect
Amazon had bundled the parcel,Amazon will ship the parcel,0,past perfect - future simple,perfect - progressive
Amazon had bundled the parcel,Amazon ships the parcel,0,past perfect - present simple,perfect - progressive
Amazon had bundled the parcel,Amazon shipped the parcel,0,past perfect - past simple,perfect - perfect
Amazon will bundle the parcel,Amazon is shipping the parcel,0,future simple - present progressive,progressive - progressive
Amazon will bundle the parcel,Amazon was shipping the parcel,0,future simple - past progressive,progressive - progressive
Amazon will bundle the parcel,Amazon has shipped the parcel,0,future simple - present perfect,progressive - perfect
Amazon will bundle the parcel,Amazon had shipped the parcel,0,future simple - past perfect,progressive - perfect
Amazon will bundle the parcel,Amazon will ship the parcel,0,future simple - future simple,progressive - progressive
Amazon will bundle the parcel,Amazon ships the parcel,0,future simple - present simple,progressive - progressive
Amazon will bundle the parcel,Amazon shipped the parcel,0,future simple - past simple,progressive - perfect
Amazon bundles the parcel,Amazon is shipping the parcel,0,present simple - present progressive,progressive - progressive
Amazon bundles the parcel,Amazon was shipping the parcel,0,present simple - past progressive,progressive - progressive
Amazon bundles the parcel,Amazon has shipped the parcel,0,present simple - present perfect,progressive - perfect
Amazon bundles the parcel,Amazon had shipped the parcel,0,present simple - past perfect,progressive - perfect
Amazon bundles the parcel,Amazon will ship the parcel,0,present simple - future simple,progressive - progressive
Amazon bundles the parcel,Amazon ships the parcel,0,present simple - present simple,progressive - progressive
Amazon bundles the parcel,Amazon shipped the parcel,0,present simple - past simple,progressive - perfect
Amazon bundled the parcel,Amazon is shipping the parcel,0,past simple - present progressive,perfect - progressive
Amazon bundled the parcel,Amazon was shipping the parcel,0,past simple - past progressive,perfect - progressive
Amazon bundled the parcel,Amazon has shipped the parcel,0,past simple - present perfect,perfect - perfect
Amazon bundled the parcel,Amazon had shipped the parcel,0,past simple - past perfect,perfect - perfect
Amazon bundled the parcel,Amazon will ship the parcel,0,past simple - future simple,perfect - progressive
Amazon bundled the parcel,Amazon ships the parcel,0,past simple - present simple,perfect - progressive
Amazon bundled the parcel,Amazon shipped the parcel,0,past simple - past simple,perfect - perfect
Austria is attacking Serbia,Austria is bombing Serbia,0,present progressive - present progressive,progressive - progressive
Austria is attacking Serbia,Austria was bombing Serbia,0,present progressive - past progressive,progressive - progressive
Austria is attacking Serbia,Austria has bombed Serbia,0,present progressive - present perfect,progressive - perfect
Austria is attacking Serbia,Austria had bombed Serbia,0,present progressive - past perfect,progressive - perfect
Austria is attacking Serbia,Austria will bomb Serbia,0,present progressive - future simple,progressive - progressive
Austria is attacking Serbia,Austria bombs Serbia,0,present progressive - present simple,progressive - progressive
Austria is attacking Serbia,Austria bombed Serbia,0,present progressive - past simple,progressive - perfect
Austria was attacking Serbia,Austria is bombing Serbia,0,past progressive - present progressive,progressive - progressive
Austria was attacking Serbia,Austria was bombing Serbia,0,past progressive - past progressive,progressive - progressive
Austria was attacking Serbia,Austria has bombed Serbia,0,past progressive - present perfect,progressive - perfect
Austria was attacking Serbia,Austria had bombed Serbia,0,past progressive - past perfect,progressive - perfect
Austria was attacking Serbia,Austria will bomb Serbia,0,past progressive - future simple,progressive - progressive
Austria was attacking Serbia,Austria bombs Serbia,0,past progressive - present simple,progressive - progressive
Austria was attacking Serbia,Austria bombed Serbia,0,past progressive - past simple,progressive - perfect
Austria has attacked Serbia,Austria is bombing Serbia,0,present perfect - present progressive,perfect - progressive
Austria has attacked Serbia,Austria was bombing Serbia,0,present perfect - past progressive,perfect - progressive
Austria has attacked Serbia,Austria has bombed Serbia,0,present perfect - present perfect,perfect - perfect
Austria has attacked Serbia,Austria had bombed Serbia,0,present perfect - past perfect,perfect - perfect
Austria has attacked Serbia,Austria will bomb Serbia,0,present perfect - future simple,perfect - progressive
Austria has attacked Serbia,Austria bombs Serbia,0,present perfect - present simple,perfect - progressive
Austria has attacked Serbia,Austria bombed Serbia,0,present perfect - past simple,perfect - perfect
Austria had attacked Serbia,Austria is bombing Serbia,0,past perfect - present progressive,perfect - progressive
Austria had attacked Serbia,Austria was bombing Serbia,0,past perfect - past progressive,perfect - progressive
Austria had attacked Serbia,Austria has bombed Serbia,0,past perfect - present perfect,perfect - perfect
Austria had attacked Serbia,Austria had bombed Serbia,0,past perfect - past perfect,perfect - perfect
Austria had attacked Serbia,Austria will bomb Serbia,0,past perfect - future simple,perfect - progressive
Austria had attacked Serbia,Austria bombs Serbia,0,past perfect - present simple,perfect - progressive
Austria had attacked Serbia,Austria bombed Serbia,0,past perfect - past simple,perfect - perfect
Austria will attack Serbia,Austria is bombing Serbia,0,future simple - present progressive,progressive - progressive
Austria will attack Serbia,Austria was bombing Serbia,0,future simple - past progressive,progressive - progressive
Austria will attack Serbia,Austria has bombed Serbia,0,future simple - present perfect,progressive - perfect
Austria will attack Serbia,Austria had bombed Serbia,0,future simple - past perfect,progressive - perfect
Austria will attack Serbia,Austria will bomb Serbia,0,future simple - future simple,progressive - progressive
Austria will attack Serbia,Austria bombs Serbia,0,future simple - present simple,progressive - progressive
Austria will attack Serbia,Austria bombed Serbia,0,future simple - past simple,progressive - perfect
Austria attacks Serbia,Austria is bombing Serbia,0,present simple - present progressive,progressive - progressive
Austria attacks Serbia,Austria was bombing Serbia,0,present simple - past progressive,progressive - progressive
Austria attacks Serbia,Austria has bombed Serbia,0,present simple - present perfect,progressive - perfect
Austria attacks Serbia,Austria had bombed Serbia,0,present simple - past perfect,progressive - perfect
Austria attacks Serbia,Austria will bomb Serbia,0,present simple - future simple,progressive - progressive
Austria attacks Serbia,Austria bombs Serbia,0,present simple - present simple,progressive - progressive
Austria attacks Serbia,Austria bombed Serbia,0,present simple - past simple,progressive - perfect
Austria attacked Serbia,Austria is bombing Serbia,0,past simple - present progressive,perfect - progressive
Austria attacked Serbia,Austria was bombing Serbia,0,past simple - past progressive,perfect - progressive
Austria attacked Serbia,Austria has bombed Serbia,0,past simple - present perfect,perfect - perfect
Austria attacked Serbia,Austria had bombed Serbia,0,past simple - past perfect,perfect - perfect
Austria attacked Serbia,Austria will bomb Serbia,0,past simple - future simple,perfect - progressive
Austria attacked Serbia,Austria bombs Serbia,0,past simple - present simple,perfect - progressive
Austria attacked Serbia,Austria bombed Serbia,0,past simple - past simple,perfect - perfect
Austria is bombing Serbia,Austria is attacking Serbia,1,present progressive - present progressive,progressive - progressive
Austria is bombing Serbia,Austria was attacking Serbia,1,present progressive - past progressive,progressive - progressive
Austria is bombing Serbia,Austria has attacked Serbia,1,present progressive - present perfect,progressive - perfect
Austria is bombing Serbia,Austria had attacked Serbia,1,present progressive - past perfect,progressive - perfect
Austria is bombing Serbia,Austria will attack Serbia,1,present progressive - future simple,progressive - progressive
Austria is bombing Serbia,Austria attacks Serbia,1,present progressive - present simple,progressive - progressive
Austria is bombing Serbia,Austria attacked Serbia,1,present progressive - past simple,progressive - perfect
Austria was bombing Serbia,Austria is attacking Serbia,0,past progressive - present progressive,progressive - progressive
Austria was bombing Serbia,Austria was attacking Serbia,1,past progressive - past progressive,progressive - progressive
Austria was bombing Serbia,Austria has attacked Serbia,0,past progressive - present perfect,progressive - perfect
Austria was bombing Serbia,Austria had attacked Serbia,1,past progressive - past perfect,progressive - perfect
Austria was bombing Serbia,Austria will attack Serbia,0,past progressive - future simple,progressive - progressive
Austria was bombing Serbia,Austria attacks Serbia,0,past progressive - present simple,progressive - progressive
Austria was bombing Serbia,Austria attacked Serbia,1,past progressive - past simple,progressive - perfect
Austria has bombed Serbia,Austria is attacking Serbia,1,present perfect - present progressive,perfect - progressive
Austria has bombed Serbia,Austria was attacking Serbia,1,present perfect - past progressive,perfect - progressive
Austria has bombed Serbia,Austria has attacked Serbia,1,present perfect - present perfect,perfect - perfect
Austria has bombed Serbia,Austria had attacked Serbia,1,present perfect - past perfect,perfect - perfect
Austria has bombed Serbia,Austria will attack Serbia,1,present perfect - future simple,perfect - progressive
Austria has bombed Serbia,Austria attacks Serbia,1,present perfect - present simple,perfect - progressive
Austria has bombed Serbia,Austria attacked Serbia,1,present perfect - past simple,perfect - perfect
Austria had bombed Serbia,Austria is attacking Serbia,0,past perfect - present progressive,perfect - progressive
Austria had bombed Serbia,Austria was attacking Serbia,1,past perfect - past progressive,perfect - progressive
Austria had bombed Serbia,Austria has attacked Serbia,0,past perfect - present perfect,perfect - perfect
Austria had bombed Serbia,Austria had attacked Serbia,1,past perfect - past perfect,perfect - perfect
Austria had bombed Serbia,Austria will attack Serbia,0,past perfect - future simple,perfect - progressive
Austria had bombed Serbia,Austria attacks Serbia,0,past perfect - present simple,perfect - progressive
Austria had bombed Serbia,Austria attacked Serbia,1,past perfect - past simple,perfect - perfect
Austria will bomb Serbia,Austria is attacking Serbia,0,future simple - present progressive,progressive - progressive
Austria will bomb Serbia,Austria was attacking Serbia,0,future simple - past progressive,progressive - progressive
Austria will bomb Serbia,Austria has attacked Serbia,0,future simple - present perfect,progressive - perfect
Austria will bomb Serbia,Austria had attacked Serbia,0,future simple - past perfect,progressive - perfect
Austria will bomb Serbia,Austria will attack Serbia,1,future simple - future simple,progressive - progressive
Austria will bomb Serbia,Austria attacks Serbia,0,future simple - present simple,progressive - progressive
Austria will bomb Serbia,Austria attacked Serbia,0,future simple - past simple,progressive - perfect
Austria bombs Serbia,Austria is attacking Serbia,1,present simple - present progressive,progressive - progressive
Austria bombs Serbia,Austria was attacking Serbia,1,present simple - past progressive,progressive - progressive
Austria bombs Serbia,Austria has attacked Serbia,1,present simple - present perfect,progressive - perfect
Austria bombs Serbia,Austria had attacked Serbia,0,present simple - past perfect,progressive - perfect
Austria bombs Serbia,Austria will attack Serbia,1,present simple - future simple,progressive - progressive
Austria bombs Serbia,Austria attacks Serbia,1,present simple - present simple,progressive - progressive
Austria bombs Serbia,Austria attacked Serbia,1,present simple - past simple,progressive - perfect
Austria bombed Serbia,Austria is attacking Serbia,0,past simple - present progressive,perfect - progressive
Austria bombed Serbia,Austria was attacking Serbia,1,past simple - past progressive,perfect - progressive
Austria bombed Serbia,Austria has attacked Serbia,0,past simple - present perfect,perfect - perfect
Austria bombed Serbia,Austria had attacked Serbia,1,past simple - past perfect,perfect - perfect
Austria bombed Serbia,Austria will attack Serbia,0,past simple - future simple,perfect - progressive
Austria bombed Serbia,Austria attacks Serbia,0,past simple - present simple,perfect - progressive
Austria bombed Serbia,Austria attacked Serbia,1,past simple - past simple,perfect - perfect
Google is hiring Thomas,Google is interviewing Thomas,0,present progressive - present progressive,progressive - progressive
Google is hiring Thomas,Google was interviewing Thomas,1,present progressive - past progressive,progressive - progressive
Google is hiring Thomas,Google has interviewed Thomas,1,present progressive - present perfect,progressive - perfect
Google is hiring Thomas,Google had interviewed Thomas,1,present progressive - past perfect,progressive - perfect
Google is hiring Thomas,Google will interview Thomas,0,present progressive - future simple,progressive - progressive
Google is hiring Thomas,Google interviews Thomas,0,present progressive - present simple,progressive - progressive
Google is hiring Thomas,Google interviewed Thomas,1,present progressive - past simple,progressive - perfect
Google was hiring Thomas,Google is interviewing Thomas,0,past progressive - present progressive,progressive - progressive
Google was hiring Thomas,Google was interviewing Thomas,1,past progressive - past progressive,progressive - progressive
Google was hiring Thomas,Google has interviewed Thomas,0,past progressive - present perfect,progressive - perfect
Google was hiring Thomas,Google had interviewed Thomas,1,past progressive - past perfect,progressive - perfect
Google was hiring Thomas,Google will interview Thomas,0,past progressive - future simple,progressive - progressive
Google was hiring Thomas,Google interviews Thomas,0,past progressive - present simple,progressive - progressive
Google was hiring Thomas,Google interviewed Thomas,1,past progressive - past simple,progressive - perfect
Google has hired Thomas,Google is interviewing Thomas,0,present perfect - present progressive,perfect - progressive
Google has hired Thomas,Google was interviewing Thomas,1,present perfect - past progressive,perfect - progressive
Google has hired Thomas,Google has interviewed Thomas,0,present perfect - present perfect,perfect - perfect
Google has hired Thomas,Google had interviewed Thomas,1,present perfect - past perfect,perfect - perfect
Google has hired Thomas,Google will interview Thomas,0,present perfect - future simple,perfect - progressive
Google has hired Thomas,Google interviews Thomas,0,present perfect - present simple,perfect - progressive
Google has hired Thomas,Google interviewed Thomas,1,present perfect - past simple,perfect - perfect
Google had hired Thomas,Google is interviewing Thomas,0,past perfect - present progressive,perfect - progressive
Google had hired Thomas,Google was interviewing Thomas,1,past perfect - past progressive,perfect - progressive
Google had hired Thomas,Google has interviewed Thomas,0,past perfect - present perfect,perfect - perfect
Google had hired Thomas,Google had interviewed Thomas,1,past perfect - past perfect,perfect - perfect
Google had hired Thomas,Google will interview Thomas,0,past perfect - future simple,perfect - progressive
Google had hired Thomas,Google interviews Thomas,0,past perfect - present simple,perfect - progressive
Google had hired Thomas,Google interviewed Thomas,1,past perfect - past simple,perfect - perfect
Google will hire Thomas,Google is interviewing Thomas,0,future simple - present progressive,progressive - progressive
Google will hire Thomas,Google was interviewing Thomas,0,future simple - past progressive,progressive - progressive
Google will hire Thomas,Google has interviewed Thomas,0,future simple - present perfect,progressive - perfect
Google will hire Thomas,Google had interviewed Thomas,0,future simple - past perfect,progressive - perfect
Google will hire Thomas,Google will interview Thomas,0,future simple - future simple,progressive - progressive
Google will hire Thomas,Google interviews Thomas,0,future simple - present simple,progressive - progressive
Google will hire Thomas,Google interviewed Thomas,0,future simple - past simple,progressive - perfect
Google hires Thomas,Google is interviewing Thomas,0,present simple - present progressive,progressive - progressive
Google hires Thomas,Google was interviewing Thomas,1,present simple - past progressive,progressive - progressive
Google hires Thomas,Google has interviewed Thomas,1,present simple - present perfect,progressive - perfect
Google hires Thomas,Google had interviewed Thomas,1,present simple - past perfect,progressive - perfect
